sample_name,file_name,original_genome,genome,exp_protocol,cell_type,tissue,antibody,treatment,data_source,GSE,GSM,description,format
AML_db57_hg19toHg38,GSE73207_rad21_mut_runx1_merge_peaks.narrowPeak.gz,hg19,hg38,ChiPseq,TF1,,RUNX1,RAD21 Q592*,GEO,GSE73207,,Chip-Seq in erythroleukemia cells transduced with vector expression of RAD21 after 6 days DOX induction,bed
AML_db58_hg19toHg38,GSE73207_rad21_mut_smc3_merge_peaks.narrowPeak.gz,hg19,hg38,ChiPseq,TF1,,SMC3,RAD21 Q592*,GEO,GSE73207,,Chip-Seq in erythroleukemia cells transduced with vector expression of RAD21 after 6 days DOX induction,bed
AML_db59_hg19toHg38,GSE73207_rad21_wt_gata2_merge_peaks.narrowPeak.gz,hg19,hg38,ChiPseq,TF1,,GATA2,RAD21 WT,GEO,GSE73207,,Chip-Seq in erythroleukemia cells transduced with vector expression of RAD21 after 6 days DOX induction,bed
AML_db60_hg19toHg38,GSE73207_rad21_wt_runx1_merge_peaks.narrowPeak.gz,hg19,hg38,ChiPseq,TF1,,RUNX1,RAD21 WT,GEO,GSE73207,,Chip-Seq in erythroleukemia cells transduced with vector expression of RAD21 after 6 days DOX induction,bed
AML_db61_hg19toHg38,GSE73207_rad21_wt_smc3_merge_peaks.narrowPeak.gz,hg19,hg38,ChiPseq,TF1 ,,SMC3,RAD21 WT,GEO,GSE73207,,Chip-Seq in erythroleukemia cells transduced with vector expression of RAD21 after 6 days DOX induction,bed
AML_db62_hg19toHg38,GSE91663_ENCFF407AOX_optimal_idr_thresholded_peaks_hg19.bed.gz,hg19,hg38,ChiPseq, K562,Lung , ZEB2,None,GEO,GSE91663 ,,ZEB2 ChIP-seq on human K562 (ENCODE),bed
AML_db63_hg19toHg38,GSE91663_ENCFF568FLE_conservative_idr_thresholded_peaks_hg19.bed.gz,hg19,hg38,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,,ZEB2 ChIP-seq on human K562 (ENCODE),bed
AML_db64_hg19toHg38,GSE91663_ENCFF846MNB_peaks_hg19.bed.gz,hg19,hg38,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,,ZEB2 ChIP-seq on human K562 (ENCODE),bed
AML_db65_hg19toHg38,GSM1097879_CD34_ERG_ChIP-seq.bed.gz,hg19,hg38,ChiPseq,CD34+,Bone marrow,ERG,None ,GEO,GSE45144,GSM1097879,"combinatorial binding by 7 transcription factors, 1 IgG control, mRNA and small RNA seq in CD34+ cells",bed
AML_db66_hg19toHg38,GSM1097880_CD34_FLI1_ChIP-seq.bed.gz,hg19,hg38,ChiPseq,CD34+,Bone marrow,FLI1,None,GEO,GSE45144,GSM1097880,"combinatorial binding by 7 transcription factors, 1 IgG control, mRNA and small RNA seq in CD34+ cells",bed
AML_db67_hg19toHg38,GSM1097881_CD34_SCL_ChIP-seq.bed.gz,hg19,hg38,ChiPseq,CD34+,Bone marrow,SCL,None,GEO,GSE45144,GSM1097881,"combinatorial binding by 7 transcription factors, 1 IgG control, mRNA and small RNA seq in CD34+ cells",bed
AML_db68_hg19toHg38,GSM1097882_CD34_LYL1_ChIP-seq.bed.gz,hg19,hg38,ChiPseq,CD34+,Bone marrow,LYL1,None,GEO,GSE45144,GSM1097882,"combinatorial binding by 7 transcription factors, 1 IgG control, mRNA and small RNA seq in CD34+ cells",bed
AML_db69_hg19toHg38,GSM1097883_CD34_GATA2_ChIP-seq.bed.gz,hg19,hg38,ChiPseq,CD34+,Bone marrow,GATA2,None,GEO,GSE45144,GSM1097883,"combinatorial binding by 7 transcription factors, 1 IgG control, mRNA and small RNA seq in CD34+ cells",bed
AML_db70_hg19toHg38,GSM1097884_CD34_RUNX1_ChIP-seq.bed.gz,hg19,hg38,ChiPseq,CD34+,Bone marrow,RUNX1,None,GEO,GSE45144,GSM1097884,"combinatorial binding by 7 transcription factors, 1 IgG control, mRNA and small RNA seq in CD34+ cells",bed
AML_db71_hg19toHg38,GSM1097885_CD34_LMO2_ChIP-seq.bed.gz,hg19,hg38,ChiPseq,CD34+,Bone marrow,LMO2,None,GEO,GSE45144,GSM1097885,"combinatorial binding by 7 transcription factors, 1 IgG control, mRNA and small RNA seq in CD34+ cells",bed
AML_db72_hg19toHg38,GSM1097886_CD34_IgG_ChIP-seq.bed.gz,hg19,hg38,ChiPseq,CD34+,Bone marrow,IgG,None,GEO,GSE45144,GSM1097886,"combinatorial binding by 7 transcription factors, 1 IgG control, mRNA and small RNA seq in CD34+ cells",bed
AML_db73_hg19toHg38,GSM1975005_s_3_hg19_peaks.bed.gz,hg19,hg38,ChiPseq,K562,,ASH1,None,GEO,GSE76145,GSM1975005,leukemia cell line; A Trithorax-group (TrxG) protein ASH1 selectively dimethylates H3K36,bed
AML_db74_hg19toHg38,GSM1975006_s_4_hg19_peaks.bed.gz,hg19,hg38,ChiPseq,K562,,ASH1,None,GEO,GSE76145,GSM1975006,leukemia cell line; A Trithorax-group (TrxG) protein ASH1 selectively dimethylates H3K36,bed
AML_db75_hg19toHg38,GSM2410096_control_H3K4me3_rep1.bed.gz,hg19,hg38,ChiPseq,Pre-B ALL,,H3K4me3,DOX(48h)_empty vector,GEO,GSE90656,GSM2410096,ChIP-Seq from human Ik6+ BCR-ABL1+ pre-B ALL cells following DOX induction of IK1,bed
AML_db76_hg19toHg38,GSM2410097_control_H3K4me3_rep2.bed.gz,hg19,hg38,ChiPseq,Pre-B ALL,,H3K4me3,DOX(48h)_empty vector,GEO,GSE90656,GSM2410097,ChIP-Seq from human Ik6+ BCR-ABL1+ pre-B ALL cells following DOX induction of IK1,bed
AML_db77_hg19toHg38,GSM2410098_Ik1_H3K4me3_rep1.bed.gz,hg19,hg38,ChiPseq,Pre-B ALL,,H3K4me4,DOX(48h)_IK1,GEO,GSE90656,GSM2410098,ChIP-Seq from human Ik6+ BCR-ABL1+ pre-B ALL cells following DOX induction of IK1,bed
AML_db78_hg19toHg38,GSM2410099_Ik1_H3K4me3_rep2.bed.gz,hg19,hg38,ChiPseq,Pre-B ALL,,H3K4me4,DOX(48h)_IK1,GEO,GSE90656,GSM2410099,ChIP-Seq from human Ik6+ BCR-ABL1+ pre-B ALL cells following DOX induction of IK1,bed
AML_db79_hg19toHg38,GSM2410100_control_H3K27ac_rep1.bed.gz,hg19,hg38,ChiPseq,Pre-B ALL,,H3K27ac,DOX(48h)_empty vector,GEO,GSE90656,GSM2410100,ChIP-Seq from human Ik6+ BCR-ABL1+ pre-B ALL cells following DOX induction of IK1,bed
AML_db80_hg19toHg38,GSM2410101_control_H3K27ac_rep2.bed.gz,hg19,hg38,ChiPseq,Pre-B ALL,,H3K27ac,DOX(48h)_empty vector,GEO,GSE90656,GSM2410101,ChIP-Seq from human Ik6+ BCR-ABL1+ pre-B ALL cells following DOX induction of IK1,bed
AML_db81_hg19toHg38,GSM2410102_Ik1_H3K27ac_rep1.bed.gz,hg19,hg38,ChiPseq,Pre-B ALL,,H3K27ac,DOX(48h)_IK1,GEO,GSE90656,GSM2410102,ChIP-Seq from human Ik6+ BCR-ABL1+ pre-B ALL cells following DOX induction of IK1,bed
AML_db82_hg19toHg38,GSM2410103_Ik1_H3K27ac_rep2.bed.gz,hg19,hg38,ChiPseq,Pre-B ALL,,H3K27ac,DOX(48h)_IK1,GEO,GSE90656,GSM2410103,ChIP-Seq from human Ik6+ BCR-ABL1+ pre-B ALL cells following DOX induction of IK1,bed
AML_db83_hg19toHg38,GSM2423312_ENCFF295KFV_peaks_hg19.bed.gz,hg19,hg38,ChiPseq,K562,Lung,ZEB2,None,GEO,GSE91663,GSM2423312,"53 year old adult female with chronic myelogenous leukemia (CML), ENCODE  ",bed
AML_db84_hg19toHg38,GSM2423313_ENCFF597MUA_peaks_hg19.bed.gz,hg19,hg38,ChiPseq,K562,Lung,ZEB2,None,GEO,GSE91663,GSM2423313,"53 year old adult female with chronic myelogenous leukemia (CML), ENCODE   ",bed
AML_db85_hg19toHg38,GSM2827349_ENCFF526LHJ_peaks_hg19.bed.gz,hg19,hg38,ChiPseq,GM12878,,IKZF1,None ,GEO,GSE105587,GSM2827349,IKZF1 ChIP-seq on human GM12878,bed
AML_db86_hg19toHg38,GSM2827350_ENCFF963HCJ_peaks_hg19.bed.gz,hg19,hg38,ChiPseq,GM12878,,IKZF1,None ,GEO,GSE105587,GSM2827350,IKZF1 ChIP-seq on human GM12878,bed
AML_db87_hg19toHg38,GSM2828856_ENCFF100WYT_peaks_hg19.bed.gz,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828856,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bed
AML_db88_hg19toHg38,GSM2828857_ENCFF641QDG_peaks_hg19.bed.gz,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828857,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bed
AML_db89_hg19toHg38,GSM3024901_O3_CD45_H3K27ac_peaks.bed.gz,hg19,hg38,ChiPseq,OCI-AML3,,H3K27ac,sgCD45,GEO,GSE111179,GSM3024901,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db90_hg19toHg38,GSM3024902_O3_CD45_H3K27me3_peaks.bed.gz,hg19,hg38,ChiPseq,OCI-AML3,,H3K27me3,sgCD45,GEO,GSE111179,GSM3024902,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db91_hg19toHg38,GSM3024903_O3_CD45_H3K4me3_peaks.bed.gz,hg19,hg38,ChiPseq,OCI-AML3,,H3K27me3,sgCD45,GEO,GSE111179,GSM3024903,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db92_hg19toHg38,GSM3024904_O3_sg76_H3K27ac_peaks.bed.gz,hg19,hg38,ChiPseq,OCI-AML3,,H3K27ac,sgNPM1c,GEO,GSE111179,GSM3024904,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db93_hg19toHg38,GSM3024905_O3_sg76_H3K27me3_peaks.bed.gz,hg19,hg38,ChiPseq,OCI-AML3,,H3K27me3,sgNPM1c,GEO,GSE111179,GSM3024905,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db94_hg19toHg38,GSM3024906_O3_sg76_H3K4me3_peaks.bed.gz,hg19,hg38,ChiPseq,OCI-AML3,,H3K4me3,sgNPM1c,GEO,GSE111179,GSM3024906,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db95_hg19toHg38,GSM3024907_IMS_CD45_H3K27ac_peaks.bed.gz,hg19,hg38,ChiPseq,IMS-M2,,H3K27ac, sgCD45,GEO,GSE111179,GSM3024907,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db96_hg19toHg38,GSM3024908_IMS_sg76_H3K27ac_peaks.bed.gz,hg19,hg38,ChiPseq,IMS-M2,,H3K27ac,sgNPM1c,GEO,GSE111179,GSM3024908,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db97_hg19toHg38,GSM3024909_O3_DMSO_H3K27ac_peaks.bed.gz,hg19,hg38,ChiPseq,OCI-AML3,,H3K27ac,DMSO_0.05%,GEO,GSE111179,GSM3024909,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db98_hg19toHg38,GSM3024910_O3_KPT_H3K27ac_peaks.bed.gz,hg19,hg38,ChiPseq,OCI-AML3,,H3K27ac,Selinexor_100nM,GEO,GSE111179,GSM3024910,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db99_hg19toHg38,GSM3024911_IMS_DMSO_H3K27ac_peaks.bed.gz,hg19,hg38,ChiPseq,IMS-M2,,H3K27ac,DMSO_0.05%,GEO,GSE111179,GSM3024911,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db100_hg19toHg38,GSM3024912_IMS_KPT_H3K27ac_peaks.bed.gz,hg19,hg38,ChiPseq,IMS-M2,,H3K27ac,Selinexor_100nM,GEO,GSE111179,GSM3024912,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db101_hg19toHg38,GSM3024913_PDX_DMSO_H3K27ac_peaks.bed.gz,hg19,hg38,ChiPseq, PDX2,patient_xenograft,H3K27ac,DMSO_0.05%,GEO,GSE111179,GSM3024913,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db102_hg19toHg38,GSM3024914_PDX_KPT_H3K27ac_peaks.bed.gz,hg19,hg38,ChiPseq, PDX2,patient_xenograft,H3K27ac,Selinexor_100nM,GEO,GSE111179,GSM3024914,"Transcriptional and epigenetic changes upon relocalization or targeted degradation of NPM1c, AML",bed
AML_db103_hg19toHg38,GSM3099679_WT-H3K4me3-ChIP-seq_peaks.bed.gz,hg19,hg38,ChiPseq, MOLM13,,H3K4me3,None ,GEO,GSE113191,GSM3099679,"Human-derived AML cells,  (CBS79) is critical for aberrant HOXA9-HOXA13 gene expression in AML",bed
AML_db104_hg19toHg38,GSM3099680_CBS79KO-H3K4me3-ChIP-seq_peaks.bed.gz,hg19,hg38,ChiPseq, MOLM13,,H3K4me3,CBS79KO,GEO,GSE113191,GSM3099680,"Human-derived AML cells,  (CBS79) is critical for aberrant HOXA9-HOXA13 gene expression in AML",bed
AML_db105_hg19toHg38,GSM3099681_WT-H3K27me3-ChIP-seq_peaks.bed.gz,hg19,hg38,ChiPseq, MOLM13,,H3K27me3,None,GEO,GSE113191,GSM3099681,"Human-derived AML cells,  (CBS79) is critical for aberrant HOXA9-HOXA13 gene expression in AML",bed
AML_db106_hg19toHg38,GSM3099682_CBS79KO-H3K27me3-ChIP-seq_peaks.bed.gz,hg19,hg38,ChiPseq, MOLM13,,H3K27me3,CBS79KO,GEO,GSE113191,GSM3099682,"Human-derived AML cells,  (CBS79) is critical for aberrant HOXA9-HOXA13 gene expression in AML",bed
AML_db107_hg19toHg38,GSM3099683_WT-H3K79me2-ChIP-seq_peaks.bed.gz,hg19,hg38,ChiPseq, MOLM13,,H3K79me2,None,GEO,GSE113191,GSM3099683,"Human-derived AML cells,  (CBS79) is critical for aberrant HOXA9-HOXA13 gene expression in AML",bed
AML_db108_hg19toHg38,GSM3099684_CBS79KO-H3K79me2-ChIP-seq_peaks.bed.gz,hg19,hg38,ChiPseq, MOLM13,,H3K79me2,CBS79KO,GEO,GSE113191,GSM3099684,"Human-derived AML cells,  (CBS79) is critical for aberrant HOXA9-HOXA13 gene expression in AML",bed
AML_db353_hg19toHg38,GSE105587_ENCFF173IKQ_conservative_idr_thresholded_peaks_hg19.bigBed,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bigBed
AML_db354_hg19toHg38,GSE105587_ENCFF943RZR_peaks_hg19.bigBed,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bigBed
AML_db355_hg19toHg38,GSE105977_ENCFF342OTH_optimal_idr_thresholded_peaks_hg19.bigBed,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bigBed
AML_db356_hg19toHg38,GSE105977_ENCFF431GSU_peaks_hg19.bigBed,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bigBed
AML_db357_hg19toHg38,GSE105977_ENCFF880DFU_conservative_idr_thresholded_peaks_hg19.bigBed,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bigBed
AML_db358_hg19toHg38,GSE91663_ENCFF129WGK_optimal_idr_thresholded_peaks_hg19.bigBed,hg19,hg38,ChiPseq, K562,Lung , ZEB2,None,GEO,GSE91663 ,,ZEB2 ChIP-seq on human K562 (ENCODE),bigBed
AML_db359_hg19toHg38,GSE91663_ENCFF552ISB_conservative_idr_thresholded_peaks_hg19.bigBed,hg19,hg38,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,,ZEB2 ChIP-seq on human K562 (ENCODE),bigBed
AML_db360_hg19toHg38,GSE91663_ENCFF791BWM_peaks_hg19.bigBed,hg19,hg38,ChiPseq, K562,Lung , ZEB2,None,GEO,GSE91663 ,,ZEB2 ChIP-seq on human K562 (ENCODE),bigBed
AML_db361_hg19toHg38,GSM2423312_ENCFF809AGT_peaks_hg19.bigBed,hg19,hg38,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,GSM2423312,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigBed
AML_db362_hg19toHg38,GSM2423313_ENCFF837KWS_peaks_hg19.bigBed,hg19,hg38,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,GSM2423313,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigBed
AML_db363_hg19toHg38,GSM2827349_ENCFF499ECU_peaks_hg19.bigBed,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827349,IKZF1 ChIP-seq on human GM12878,bigBed
AML_db364_hg19toHg38,GSM2827350_ENCFF431IKZ_peaks_hg19.bigBed,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827350,IKZF1 ChIP-seq on human GM12878,bigBed
AML_db365_hg19toHg38,GSM2828856_ENCFF450BMF_peaks_hg19.bigBed,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828856,eGFP-GLI2 ChIP-seq on human HEK293 cells,bigBed
AML_db366_hg19toHg38,GSM2828857_ENCFF508ADW_peaks_hg19.bigBed,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828857,eGFP-GLI2 ChIP-seq on human HEK293 cells,bigBed
AML_db367_hg19toHg38,GSE105587_ENCFF176OVL_signal_p-value_hg19.bigWig,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db368_hg19toHg38,GSE105587_ENCFF405CHV_fold_change_over_control_hg19.bigWig,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db369_hg19toHg38,GSE105977_ENCFF117GOI_fold_change_over_control_hg19.bigWig,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bigWig
AML_db370_hg19toHg38,GSE105977_ENCFF171UMT_signal_p-value_hg19.bigWig,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bigWig
AML_db371_hg19toHg38,GSE91663_ENCFF058RSO_signal_p-value_hg19.bigWig,hg19,hg38,ChiPseq, K562,Lung , ZEB2,None,GEO,GSE91663 ,,ZEB2 ChIP-seq on human K562 (ENCODE),bigWig
AML_db372_hg19toHg38,GSE91663_ENCFF120VOJ_fold_change_over_control_hg19.bigWig,hg19,hg38,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,,ZEB2 ChIP-seq on human K562 (ENCODE),bigWig
AML_db373_hg19toHg38,GSM2423312_ENCFF025FKA_fold_change_over_control_hg19.bigWig,hg19,hg38,ChiPseq, K562,Lung , ZEB2,None,GEO,GSE91663,GSM2423312,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigWig
AML_db374_hg19toHg38,GSM2423312_ENCFF433NFO_signal_p-value_hg19.bigWig,hg19,hg38,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,GSM2423312,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigWig
AML_db375_hg19toHg38,GSM2423313_ENCFF865EQG_fold_change_over_control_hg19.bigWig,hg19,hg38,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,GSM2423313,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigWig
AML_db376_hg19toHg38,GSM2423313_ENCFF909JNU_signal_p-value_hg19.bigWig,hg19,hg38,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,GSM2423313,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bigWig
AML_db377_hg19toHg38,GSM2827349_ENCFF606RFP_fold_change_over_control_hg19.bigWig,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827349,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db378_hg19toHg38,GSM2827349_ENCFF967IRT_signal_p-value_hg19.bigWig,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827349,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db379_hg19toHg38,GSM2827350_ENCFF041DRU_fold_change_over_control_hg19.bigWig,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827350,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db380_hg19toHg38,GSM2827350_ENCFF620ZOJ_signal_p-value_hg19.bigWig,hg19,hg38,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,GSM2827350,IKZF1 ChIP-seq on human GM12878,bigWig
AML_db381_hg19toHg38,GSM2828856_ENCFF084NPF_signal_p-value_hg19.bigWig,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828856,eGFP-GLI2 ChIP-seq on human HEK293 cells,bigWig
AML_db382_hg19toHg38,GSM2828856_ENCFF513ABJ_fold_change_over_control_hg19.bigWig,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828856,eGFP-GLI2 ChIP-seq on human HEK293 cells,bigWig
AML_db383_hg19toHg38,GSM2828857_ENCFF116ZLW_fold_change_over_control_hg19.bigWig,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828857,eGFP-GLI2 ChIP-seq on human HEK293 cells,bigWig
AML_db384_hg19toHg38,GSM2828857_ENCFF804GNX_signal_p-value_hg19.bigWig,hg19,hg38,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,GSM2828857,eGFP-GLI2 ChIP-seq on human HEK293 cells,bigWig
AML_db385_hg19toHg38,GSM3040235_S00D47H1_RUNX1_HWWMYBGXY_1_11896.DeDup.bw,hg19,hg38,ChiPseq,Myeloid cell,Venous blood,RUNX1,Male 45-50 years old,GEO,GSE111821,GSM3040235,Genome-wide RUNX1 binding landscape in AMLs with RUNX1 mutation,bigWig
AML_db386_hg19toHg38,GSM3040236_S00D55H1_RUNX1_HWWMYBGXY_1_11894.DeDup.bw,hg19,hg38,ChiPseq,Myeloid cell,Venous blood,RUNX1,Male 45-50 years old,GEO,GSE111821,GSM3040236,Genome-wide RUNX1 binding landscape in AMLs with RUNX1 mutation,bigWig
AML_db387_hg19toHg38,GSM3040237_S00D63H1_RUNX1_HWWMYBGXY_1_11895.DeDup.bw,hg19,hg38,ChiPseq,Myeloid cell,Venous blood,RUNX1,Male 55-60 years old,GEO,GSE111821,GSM3040237,Genome-wide RUNX1 binding landscape in AMLs with RUNX1 mutation,bigWig
AML_db388_hg19toHg38,GSM3040238_S00XUNH1_RUNX1_HWVNVBGXY_1_11897.DeDup.bw,hg19,hg38,ChiPseq,Myeloid cell,Venous blood,RUNX1,Male 65-70 years old,GEO,GSE111821,GSM3040238,Genome-wide RUNX1 binding landscape in AMLs with RUNX1 mutation,bigWig
AML_db389_hg19toHg38,GSM1151309_FOXP3+_H3K4me3.bed.217_MACS.wig.gz,hg19,hg38,ChiPseq, CD4+CD25highCD127low/- Treg,Peripheral blood,H3K4me3,35 days expansion foxp3 positive,GEO,GSE47510,GSM1151309,Genome-wide maps of H3K4me3 and H3K27me3 in human FOXP3+ Treg cells and the corresponding FOXP3-losing cells,wig
AML_db390_hg19toHg38,GSM1151310_FOXP3+_H3K27me3.bed.194_MACS.wig.gz,hg19,hg38,ChiPseq,CD4+CD25highCD127low/- Treg,Peripheral blood,H3K27me3,35 days expansion foxp3 positive,GEO,GSE47510,GSM1151310,Genome-wide maps of H3K4me3 and H3K27me3 in human FOXP3+ Treg cells and the corresponding FOXP3-losing cells,wig
AML_db391_hg19toHg38,GSM1151311_FOXP3-_H3K4me3.bed.189_MACS.wig.gz,hg19,hg38,ChiPseq, CD4+CD25highCD127low/- Treg,Peripheral blood,H3K4me3,35 days expansion foxp3 negative,GEO,GSE47510,GSM1151311,Genome-wide maps of H3K4me3 and H3K27me3 in human FOXP3+ Treg cells and the corresponding FOXP3-losing cells,wig
AML_db392_hg19toHg38,GSM1151312_FOXP3-_H3K27me3.bed.213_MACS.wig.gz,hg19,hg38,ChiPseq,CD4+CD25highCD127low/- Treg,Peripheral blood,H3K27me3,35 days expansion foxp3 negative,GEO,GSE47510,GSM1151312,Genome-wide maps of H3K4me3 and H3K27me3 in human FOXP3+ Treg cells and the corresponding FOXP3-losing cells,wig
AML_db393_hg19toHg38,GSM1246865_Jurkat_treat_afterfiting_all.wig.gz,hg19,hg38,ChiPseq,Jurkat T-ALL,,H3K27Ac,None,GEO,GSE51522,GSM1246865,ChIP-Seq H3K27ac in Jurkat T-ALL cell line,wig
AML_db394_hg19toHg38,GSM1513828_MV411_H3K27me3.wig.gz,hg19,hg38,ChiPseq,AML MV4-11,,H3K27me3,drug  sensitive high ezh2 exp,GEO,GSE61785,GSM1513828,"Examination of histone modifiactions H3K27me3, H3K27ac and H3K4me3 in a sensitive (MV4-11) and a drug resistant (MV4-11R) AML cell line",wig
AML_db395_hg19toHg38,GSM1513829_MV411_R_H3K27me3.wig.gz,hg19,hg38,ChiPseq,AML MV4-11R,,H3K27me3,drug resistant low ezh2 exp,GEO,GSE61785,GSM1513829,"Examination of histone modifiactions H3K27me3, H3K27ac and H3K4me3 in a sensitive (MV4-11) and a drug resistant (MV4-11R) AML cell line",wig
AML_db396_hg19toHg38,GSM1513830_MV411_H3K27Ac.wig.gz,hg19,hg38,ChiPseq,AML MV4-11,,H3K27ac,drug  sensitive high ezh2 exp,GEO,GSE61785,GSM1513830,"Examination of histone modifiactions H3K27me3, H3K27ac and H3K4me3 in a sensitive (MV4-11) and a drug resistant (MV4-11R) AML cell line",wig
AML_db397_hg19toHg38,GSM1513831_MV411_R_H3K27Ac.wig.gz,hg19,hg38,ChiPseq,AML MV4-11R,,H3K27ac,drug resistant low ezh2 exp,GEO,GSE61785,GSM1513831,"Examination of histone modifiactions H3K27me3, H3K27ac and H3K4me3 in a sensitive (MV4-11) and a drug resistant (MV4-11R) AML cell line",wig
AML_db398_hg19toHg38c,GSM1513832_MV411_H3K4me3.wig.gz,hg19,hg38,ChiPseq,AML MV4-11,,H3K4me3,drug  sensitive high ezh2 exp,GEO,GSE61785,GSM1513832,"Examination of histone modifiactions H3K27me3, H3K27ac and H3K4me3 in a sensitive (MV4-11) and a drug resistant (MV4-11R) AML cell line",wig
AML_db399_hg19toHg38,GSM1513833_MV411_R_H3K4me3.wig.gz,hg19,hg38,ChiPseq,AML MV4-11R,,H3K4me3,drug resistant low ezh2 exp,GEO,GSE61785,GSM1513833,"Examination of histone modifiactions H3K27me3, H3K27ac and H3K4me3 in a sensitive (MV4-11) and a drug resistant (MV4-11R) AML cell line",wig
